,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
56,2022-10-22,1900-01-01 17:30:00,Regular Season,9,Hapoel Jerusalem,Hapoel Beer Sheva,4,3,Hapoel Jerusalem,1,4,Orel Grinfeld,Teddy-Kollek-Stadion,4907,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 9 - Hapoel Jerusalem,2022 - Regular Season - 9 - Hapoel Beer Sheva,0,17,,,3,0,17,,,4
57,2022-10-22,1900-01-01 18:45:00,Regular Season,9,Hapoel Haifa,Sekzia Ness Ziona,11,12,Sekzia Ness Ziona,0,1,Erez Papir,Sammy Ofer Stadium,1980,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 9 - Hapoel Haifa,2022 - Regular Season - 9 - Sekzia Ness Ziona,0,8,,,10,1,8,,,14
58,2022-10-22,1900-01-01 19:45:00,Regular Season,9,FC Ashdod,Beitar Jerusalem,5,9,Beitar Jerusalem,0,2,Aviad Shiloah,Yud-Alef Stadion,5101,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 9 - FC Ashdod,2022 - Regular Season - 9 - Beitar Jerusalem,0,13,,,6,0,9,,,13
59,2022-10-22,1900-01-01 20:15:00,Regular Season,9,Ironi Kiryat Shmona,Maccabi Haifa,10,2,Ironi Kiryat Shmona,2,3,Nael Odeh,Kiryat Shmona Municipal Stadium,5202,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 9 - Ironi Kiryat Shmona,2022 - Regular Season - 9 - Maccabi Haifa,0,8,,,9,0,21,,,2
60,2022-10-23,1900-01-01 19:00:00,Regular Season,9,Maccabi Bnei Reineh,Ihud Bnei Sakhnin,7,6,Maccabi Bnei Reineh,2,0,Roi Reinshreiber,Green Stadium,2870,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 9 - Maccabi Bnei Reineh,2022 - Regular Season - 9 - Ihud Bnei Sakhnin,1,12,,,8,0,13,,,5
61,2022-10-23,1900-01-01 21:00:00,Regular Season,9,Hapoel Hadera,Hapoel Tel Aviv,8,13,Hapoel Tel Aviv,0,0,Gal Levi,Netanya Stadium,2400,2022,0,0,1,0,0,False,False,False,False,False,False,True,False,0,1,2022 - Regular Season - 9 - Hapoel Hadera,2022 - Regular Season - 9 - Hapoel Tel Aviv,0,11,,,7,0,7,,,12
62,2022-10-24,1900-01-01 20:30:00,Regular Season,9,Maccabi Tel Aviv,Maccabi Netanya,1,14,Maccabi Netanya,3,0,Gal Leibovitz,Bloomfield,25318,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 9 - Maccabi Tel Aviv,2022 - Regular Season - 9 - Maccabi Netanya,0,22,,,1,0,6,,,11
63,2022-10-29,1900-01-01 17:00:00,Regular Season,10,Maccabi Haifa,FC Ashdod,1,6,FC Ashdod,3,1,Gal Leibovitz,Sammy Ofer Stadium,29176,2022,1,0,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 10 - Maccabi Haifa,2022 - Regular Season - 10 - FC Ashdod,0,24,,,2,0,13,,,6
64,2022-10-29,1900-01-01 18:45:00,Regular Season,10,Ihud Bnei Sakhnin,Hapoel Hadera,7,5,Ihud Bnei Sakhnin,1,4,Yoav Mizrahi,Doha Stadium,2000,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 10 - Ihud Bnei Sakhnin,2022 - Regular Season - 10 - Hapoel Hadera,0,13,,,5,0,14,,,8
65,2022-10-29,1900-01-01 18:45:00,Regular Season,10,Sekzia Ness Ziona,Hapoel Jerusalem,14,4,Sekzia Ness Ziona,0,2,Majed Rushrush,HaMoshava Stadium,1276,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 10 - Sekzia Ness Ziona,2022 - Regular Season - 10 - Hapoel Jerusalem,1,8,,,12,0,20,,,4
66,2022-10-29,1900-01-01 19:30:00,Regular Season,10,Maccabi Netanya,Maccabi Bnei Reineh,12,8,Maccabi Netanya,2,1,Shalom Ben Avraham,Netanya Stadium,0,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 10 - Maccabi Netanya,2022 - Regular Season - 10 - Maccabi Bnei Reineh,0,9,,,14,1,12,,,7
67,2022-10-29,1900-01-01 20:15:00,Regular Season,10,Beitar Jerusalem,Hapoel Haifa,10,11,Hapoel Haifa,0,0,Niv Steif,Teddy-Kollek-Stadion,11000,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 10 - Beitar Jerusalem,2022 - Regular Season - 10 - Hapoel Haifa,0,10,,,9,0,9,,,11
68,2022-10-30,1900-01-01 20:15:00,Regular Season,10,Hapoel Tel Aviv,Ironi Kiryat Shmona,9,13,Ironi Kiryat Shmona,2,1,Ohad Asulin,Bloomfield,0,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 10 - Hapoel Tel Aviv,2022 - Regular Season - 10 - Ironi Kiryat Shmona,0,10,,,13,0,8,,,10
69,2022-10-31,1900-01-01 20:30:00,Regular Season,10,Hapoel Beer Sheva,Maccabi Tel Aviv,3,2,Hapoel Beer Sheva,2,0,Eitan Shmuelevic,Toto Jacob Turner Stadium,15060,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 10 - Hapoel Beer Sheva,2022 - Regular Season - 10 - Maccabi Tel Aviv,0,20,,,3,0,22,,,1
70,2022-11-05,1900-01-01 15:00:00,Regular Season,11,Maccabi Tel Aviv,Sekzia Ness Ziona,2,14,Sekzia Ness Ziona,1,1,Snir Levi,Bloomfield,21449,2022,0,0,1,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 11 - Maccabi Tel Aviv,2022 - Regular Season - 11 - Sekzia Ness Ziona,0,23,,,2,1,9,,,14
71,2022-11-05,1900-01-01 17:30:00,Regular Season,11,Hapoel Hadera,Maccabi Netanya,5,13,Maccabi Netanya,3,1,Nael Odeh,Netanya Stadium,3918,2022,1,0,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 11 - Hapoel Hadera,2022 - Regular Season - 11 - Maccabi Netanya,0,17,,,5,0,9,,,12
72,2022-11-05,1900-01-01 18:00:00,Regular Season,11,Hapoel Haifa,Hapoel Jerusalem,8,4,Hapoel Haifa,1,0,Roi Reinshreiber,Sammy Ofer Stadium,4450,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 11 - Hapoel Haifa,2022 - Regular Season - 11 - Hapoel Jerusalem,0,12,,,11,0,20,,,4
73,2022-11-05,1900-01-01 18:00:00,Regular Season,11,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,12,7,Ironi Kiryat Shmona,1,1,Erez Papir,Kiryat Shmona Municipal Stadium,2500,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 11 - Ironi Kiryat Shmona,2022 - Regular Season - 11 - Ihud Bnei Sakhnin,0,9,,,13,0,14,,,7
74,2022-11-05,1900-01-01 19:30:00,Regular Season,11,FC Ashdod,Hapoel Tel Aviv,6,10,Hapoel Tel Aviv,1,0,David Fucsman,Yud-Alef Stadion,4677,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 11 - FC Ashdod,2022 - Regular Season - 11 - Hapoel Tel Aviv,0,16,,,6,0,10,,,9
75,2022-11-06,1900-01-01 20:15:00,Regular Season,11,Maccabi Bnei Reineh,Hapoel Beer Sheva,9,3,Maccabi Bnei Reineh,0,3,Gal Leibovitz,Green Stadium,1791,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 11 - Maccabi Bnei Reineh,2022 - Regular Season - 11 - Hapoel Beer Sheva,1,12,,,8,0,23,,,3
76,2022-11-06,1900-01-01 20:30:00,Regular Season,11,Beitar Jerusalem,Maccabi Haifa,11,1,Beitar Jerusalem,1,4,Orel Grinfeld,Teddy-Kollek-Stadion,19000,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 11 - Beitar Jerusalem,2022 - Regular Season - 11 - Maccabi Haifa,0,10,,,10,0,27,,,1
77,2022-11-08,1900-01-01 19:00:00,Regular Season,12,Ihud Bnei Sakhnin,FC Ashdod,7,5,Ihud Bnei Sakhnin,1,1,Ohad Asulin,Doha Stadium,1130,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 12 - Ihud Bnei Sakhnin,2022 - Regular Season - 12 - FC Ashdod,0,15,,,7,0,17,,,6
78,2022-11-08,1900-01-01 20:00:00,Regular Season,12,Maccabi Netanya,Ironi Kiryat Shmona,11,14,Ironi Kiryat Shmona,1,0,Gal Levi,Netanya Stadium,4469,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 12 - Maccabi Netanya,2022 - Regular Season - 12 - Ironi Kiryat Shmona,0,12,,,13,0,9,,,12
79,2022-11-08,1900-01-01 20:15:00,Regular Season,12,Hapoel Jerusalem,Maccabi Tel Aviv,4,2,Hapoel Jerusalem,0,3,Erez Papir,Teddy-Kollek-Stadion,7796,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 12 - Hapoel Jerusalem,2022 - Regular Season - 12 - Maccabi Tel Aviv,0,20,,,4,0,26,,,2
80,2022-11-09,1900-01-01 19:00:00,Regular Season,12,Sekzia Ness Ziona,Maccabi Bnei Reineh,12,9,Sekzia Ness Ziona,3,3,Yoav Mizrahi,HaMoshava Stadium,815,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 12 - Sekzia Ness Ziona,2022 - Regular Season - 12 - Maccabi Bnei Reineh,1,10,,,14,1,13,,,9
81,2022-11-09,1900-01-01 20:00:00,Regular Season,12,Hapoel Beer Sheva,Hapoel Hadera,3,6,Hapoel Hadera,3,0,Shalom Ben Avraham,Toto Jacob Turner Stadium,11852,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 12 - Hapoel Beer Sheva,2022 - Regular Season - 12 - Hapoel Hadera,0,26,,,3,0,17,,,5
82,2022-11-09,1900-01-01 20:15:00,Regular Season,12,Hapoel Tel Aviv,Beitar Jerusalem,8,13,Beitar Jerusalem,2,1,Eitan Shmuelevic,Bloomfield,0,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 12 - Hapoel Tel Aviv,2022 - Regular Season - 12 - Beitar Jerusalem,0,13,,,10,0,10,,,11
83,2022-11-09,1900-01-01 20:30:00,Regular Season,12,Hapoel Haifa,Maccabi Haifa,10,1,Hapoel Haifa,0,1,Idan Leiba,Sammy Ofer Stadium,26900,2022,0,1,0,1,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 12 - Hapoel Haifa,2022 - Regular Season - 12 - Maccabi Haifa,0,12,,,8,0,30,,,1
84,2022-11-12,1900-01-01 15:00:00,Regular Season,13,FC Ashdod,Maccabi Netanya,6,8,Maccabi Netanya,2,3,Igal Frid,Yud-Alef Stadion,2185,2022,0,1,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 13 - FC Ashdod,2022 - Regular Season - 13 - Maccabi Netanya,0,17,,,5,0,15,,,11
85,2022-11-12,1900-01-01 17:30:00,Regular Season,13,Hapoel Hadera,Sekzia Ness Ziona,5,13,Sekzia Ness Ziona,0,0,Niv Steif,Netanya Stadium,1094,2022,0,0,1,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 13 - Hapoel Hadera,2022 - Regular Season - 13 - Sekzia Ness Ziona,0,18,,,6,1,11,,,12
86,2022-11-12,1900-01-01 19:30:00,Regular Season,13,Maccabi Tel Aviv,Hapoel Haifa,2,12,Hapoel Haifa,1,0,Nael Odeh,Bloomfield,20829,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 13 - Maccabi Tel Aviv,2022 - Regular Season - 13 - Hapoel Haifa,0,29,,,2,0,12,,,10
87,2022-11-13,1900-01-01 19:00:00,Regular Season,13,Maccabi Bnei Reineh,Hapoel Jerusalem,10,4,Maccabi Bnei Reineh,0,2,David Fucsman,Green Stadium,1000,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 13 - Maccabi Bnei Reineh,2022 - Regular Season - 13 - Hapoel Jerusalem,1,13,,,9,0,23,,,4
88,2022-11-13,1900-01-01 20:00:00,Regular Season,13,Ironi Kiryat Shmona,Hapoel Beer Sheva,14,3,Ironi Kiryat Shmona,0,2,Roi Reinshreiber,Kiryat Shmona Municipal Stadium,2200,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 13 - Ironi Kiryat Shmona,2022 - Regular Season - 13 - Hapoel Beer Sheva,0,9,,,14,0,29,,,3
89,2022-11-13,1900-01-01 20:30:00,Regular Season,13,Maccabi Haifa,Hapoel Tel Aviv,1,9,Hapoel Tel Aviv,5,2,Snir Levi,Sammy Ofer Stadium,29742,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 13 - Maccabi Haifa,2022 - Regular Season - 13 - Hapoel Tel Aviv,0,33,,,1,0,13,,,8
90,2022-11-14,1900-01-01 20:15:00,Regular Season,13,Beitar Jerusalem,Ihud Bnei Sakhnin,11,7,Beitar Jerusalem,2,1,Aviad Shiloah,Teddy-Kollek-Stadion,12000,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 13 - Beitar Jerusalem,2022 - Regular Season - 13 - Ihud Bnei Sakhnin,0,13,,,13,0,15,,,7
91,2022-12-17,1900-01-01 15:00:00,Regular Season,14,Hapoel Tel Aviv,Hapoel Haifa,10,11,Hapoel Haifa,3,3,Shalom Ben Avraham,Bloomfield,0,2022,0,0,1,0,1,True,False,False,False,False,False,False,False,0,0,2022 - Regular Season - 14 - Hapoel Tel Aviv,2022 - Regular Season - 14 - Hapoel Haifa,0,14,,,9,0,13,,,12
92,2022-12-17,1900-01-01 15:00:00,Regular Season,14,Hapoel Hadera,Hapoel Jerusalem,5,4,Hapoel Hadera,0,0,Snir Levi,Netanya Stadium,1250,2022,0,0,1,0,1,True,False,False,False,False,False,False,False,0,0,2022 - Regular Season - 14 - Hapoel Hadera,2022 - Regular Season - 14 - Hapoel Jerusalem,0,19,,,5,0,24,,,4
93,2022-12-17,1900-01-01 20:30:00,Regular Season,14,Beitar Jerusalem,Maccabi Netanya,7,9,Maccabi Netanya,6,3,Gal Leibovitz,Teddy-Kollek-Stadion,8500,2022,1,0,0,0,1,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 14 - Beitar Jerusalem,2022 - Regular Season - 14 - Maccabi Netanya,0,16,,,11,0,15,,,8
94,2022-12-17,1900-01-01 20:30:00,Regular Season,14,FC Ashdod,Hapoel Beer Sheva,6,3,FC Ashdod,0,1,Orel Grinfeld,Yud-Alef Stadion,2230,2022,0,1,0,0,1,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 14 - FC Ashdod,2022 - Regular Season - 14 - Hapoel Beer Sheva,0,17,,,6,0,32,,,3
95,2022-12-19,1900-01-01 19:00:00,Regular Season,14,Ironi Kiryat Shmona,Sekzia Ness Ziona,14,13,Ironi Kiryat Shmona,3,3,Eitan Shmuelevic,Kiryat Shmona Municipal Stadium,988,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,0,2022 - Regular Season - 14 - Ironi Kiryat Shmona,2022 - Regular Season - 14 - Sekzia Ness Ziona,0,10,,,14,1,12,,,13
96,2022-12-19,1900-01-01 20:15:00,Regular Season,14,Maccabi Bnei Reineh,Maccabi Tel Aviv,12,2,Maccabi Bnei Reineh,0,2,Ohad Asulin,Green Stadium,3190,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 14 - Maccabi Bnei Reineh,2022 - Regular Season - 14 - Maccabi Tel Aviv,1,13,,,10,0,32,,,2
97,2022-12-19,1900-01-01 20:30:00,Regular Season,14,Maccabi Haifa,Ihud Bnei Sakhnin,1,8,Ihud Bnei Sakhnin,3,1,Nael Odeh,Sammy Ofer Stadium,27152,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 14 - Maccabi Haifa,2022 - Regular Season - 14 - Ihud Bnei Sakhnin,0,36,,,1,0,15,,,7
98,2022-12-24,1900-01-01 15:00:00,Regular Season,15,Maccabi Tel Aviv,Hapoel Hadera,2,5,Hapoel Hadera,5,0,David Fucsman,Bloomfield,16850,2022,1,0,0,0,0,True,False,False,False,False,False,False,False,0,0,2022 - Regular Season - 15 - Maccabi Tel Aviv,2022 - Regular Season - 15 - Hapoel Hadera,0,35,,,2,0,19,,,5
99,2022-12-24,1900-01-01 17:30:00,Regular Season,15,Hapoel Jerusalem,Ironi Kiryat Shmona,4,14,Ironi Kiryat Shmona,1,1,Niv Steif,Teddy-Kollek-Stadion,1345,2022,0,0,1,0,0,False,False,True,False,False,False,False,False,0,0,2022 - Regular Season - 15 - Hapoel Jerusalem,2022 - Regular Season - 15 - Ironi Kiryat Shmona,0,25,,,4,0,11,,,14
100,2022-12-24,1900-01-01 18:00:00,Regular Season,15,Hapoel Haifa,Maccabi Bnei Reineh,12,13,Maccabi Bnei Reineh,0,0,Gal Levi,Sammy Ofer Stadium,2300,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,0,2022 - Regular Season - 15 - Hapoel Haifa,2022 - Regular Season - 15 - Maccabi Bnei Reineh,0,14,,,11,1,14,,,12
101,2022-12-24,1900-01-01 18:00:00,Regular Season,15,Sekzia Ness Ziona,FC Ashdod,9,6,Sekzia Ness Ziona,2,0,Majed Rushrush,HaMoshava Stadium,143,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,0,2022 - Regular Season - 15 - Sekzia Ness Ziona,2022 - Regular Season - 15 - FC Ashdod,1,15,,,13,0,17,,,6
102,2022-12-24,1900-01-01 19:30:00,Regular Season,15,Hapoel Beer Sheva,Beitar Jerusalem,3,8,Beitar Jerusalem,3,2,Eitan Shmuelevic,Toto Jacob Turner Stadium,14694,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,0,2022 - Regular Season - 15 - Hapoel Beer Sheva,2022 - Regular Season - 15 - Beitar Jerusalem,0,35,,,3,0,16,,,7
103,2022-12-25,1900-01-01 20:15:00,Regular Season,15,Ihud Bnei Sakhnin,Hapoel Tel Aviv,7,10,Hapoel Tel Aviv,1,1,Roi Reinshreiber,Doha Stadium,2200,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 15 - Ihud Bnei Sakhnin,2022 - Regular Season - 15 - Hapoel Tel Aviv,0,16,,,8,0,15,,,10
104,2022-12-26,1900-01-01 20:30:00,Regular Season,15,Maccabi Netanya,Maccabi Haifa,11,1,Maccabi Netanya,0,2,Orel Grinfeld,Netanya Stadium,11317,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 15 - Maccabi Netanya,2022 - Regular Season - 15 - Maccabi Haifa,0,15,,,9,0,39,,,1
105,2022-12-31,1900-01-01 15:00:00,Regular Season,16,Beitar Jerusalem,Sekzia Ness Ziona,6,12,Sekzia Ness Ziona,3,2,Ohad Asulin,Teddy-Kollek-Stadion,12081,2022,1,0,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 16 - Beitar Jerusalem,2022 - Regular Season - 16 - Sekzia Ness Ziona,0,19,,,8,1,15,,,9
106,2022-12-31,1900-01-01 17:30:00,Regular Season,16,Hapoel Tel Aviv,Maccabi Netanya,10,11,Maccabi Netanya,1,1,Aviad Shiloah,HaMoshava Stadium,7933,2022,0,0,1,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 16 - Hapoel Tel Aviv,2022 - Regular Season - 16 - Maccabi Netanya,0,16,,,10,0,16,,,11
107,2022-12-31,1900-01-01 18:00:00,Regular Season,16,Ihud Bnei Sakhnin,Hapoel Haifa,9,8,Ihud Bnei Sakhnin,1,2,Orel Grinfeld,Doha Stadium,1500,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 16 - Ihud Bnei Sakhnin,2022 - Regular Season - 16 - Hapoel Haifa,0,16,,,7,0,17,,,12
108,2022-12-31,1900-01-01 19:10:00,Regular Season,16,FC Ashdod,Hapoel Jerusalem,7,4,FC Ashdod,1,1,Yoav Mizrahi,Yud-Alef Stadion,1208,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 16 - FC Ashdod,2022 - Regular Season - 16 - Hapoel Jerusalem,0,18,,,6,0,26,,,4
109,2022-12-31,1900-01-01 19:30:00,Regular Season,16,Ironi Kiryat Shmona,Maccabi Tel Aviv,14,2,Ironi Kiryat Shmona,1,1,Idan Leiba,Kiryat Shmona Municipal Stadium,4856,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,0,2022 - Regular Season - 16 - Ironi Kiryat Shmona,2022 - Regular Season - 16 - Maccabi Tel Aviv,0,12,,,14,0,36,,,2
110,2023-01-01,1900-01-01 19:00:00,Regular Season,16,Hapoel Hadera,Maccabi Bnei Reineh,5,13,Maccabi Bnei Reineh,2,2,Majed Rushrush,Netanya Stadium,401,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 16 - Hapoel Hadera,2022 - Regular Season - 16 - Maccabi Bnei Reineh,0,20,,,5,1,15,,,13
111,2023-01-01,1900-01-01 20:30:00,Regular Season,16,Maccabi Haifa,Hapoel Beer Sheva,1,3,Hapoel Beer Sheva,2,0,Roi Reinshreiber,Sammy Ofer Stadium,29841,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 16 - Maccabi Haifa,2022 - Regular Season - 16 - Hapoel Beer Sheva,0,42,,,1,0,35,,,3
112,2023-01-07,1900-01-01 15:00:00,Regular Season,17,Maccabi Netanya,Ihud Bnei Sakhnin,10,9,Maccabi Netanya,0,0,Shalom Ben Avraham,Netanya Stadium,5218,2022,0,0,1,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 17 - Maccabi Netanya,2022 - Regular Season - 17 - Ihud Bnei Sakhnin,0,17,,,11,0,17,,,9
